GenotypeID,Class
D00713166,Offspring
D00712291,Offspring
D00713135,Offspring
D00712450,Offspring
D00713101,Offspring
D00712293,Offspring
D00712387,Offspring
D00712059,Offspring
D00715150,Offspring
D00711110,Offspring
D00711768,Offspring
D00713821,Offspring
D00713233,Offspring
D00713765,Offspring
D00711894,Offspring
D00711164,Offspring
D00712807,Offspring
D00711141,Offspring
D00713926,Offspring
D00712755,Offspring
D00711857,Offspring
D00713095,Offspring
D00712607,Offspring
D00713898,Offspring
D00713313,Offspring
D00712311,Offspring
D00711222,Offspring
D00711771,Offspring
D00712026,Offspring
D00713290,Offspring
D00712035,Offspring
D00712766,Offspring
D00713142,Offspring
D00713175,Offspring
D00711901,Offspring
D00712841,Offspring
D00712366,Offspring
D00713141,Offspring
D00712653,Offspring
D00712357,Offspring
D00712207,Offspring
D00713956,Offspring
D00711689,Offspring
D00711932,Offspring
D00711393,Offspring
D00712096,Offspring
D00712950,Offspring
D00711243,Offspring
D00713456,Offspring
D00712465,Offspring
D00713654,Offspring
D00712353,Offspring
D00711151,Offspring
D00711669,Offspring
D00711405,Offspring
D00712208,Offspring
D00712261,Offspring
D00713694,Offspring
D00711785,Offspring
D00713325,Offspring
D00712666,Offspring
D00712605,Offspring
D00712839,Offspring
D00713881,Offspring
D00712499,Offspring
D00711118,Offspring
D00711797,Offspring
D00711884,Offspring
D00712125,Offspring
D00712270,Offspring
D00713227,Offspring
D00713989,Offspring
D00712549,Offspring
D00712269,Offspring
D00712010,Offspring
D00713163,Offspring
D00712508,Offspring
D00713560,Offspring
D00712904,Offspring
D00711973,Offspring
D00712229,Offspring
D00714185,Offspring
D00712534,Offspring
D00713047,Offspring
D00713963,Offspring
D00711032,Offspring
D00712868,Offspring
D00712391,Offspring
D00711834,Offspring
D00712272,Offspring
D00713149,Offspring
D00713633,Offspring
D00712754,Offspring
D00712090,Offspring
D00712513,Offspring
D00711745,Offspring
D00712553,Offspring
D00711679,Offspring
D00713272,Offspring
D00713452,Offspring
D00711777,Offspring
D00713301,Offspring
D00712347,Offspring
D00712654,Offspring
D00712390,Offspring
D00712649,Offspring
D00712926,Offspring
D00711385,Offspring
D00713096,Offspring
D00712316,Offspring
D00711841,Offspring
D00711844,Offspring
D00712872,Offspring
D00711907,Offspring
D00712286,Offspring
D00712869,Offspring
D00712864,Offspring
D00711677,Offspring
D00713429,Offspring
D00712516,Offspring
D00713818,Offspring
D00712554,Offspring
D00711638,Offspring
D00712861,Offspring
D00713059,Offspring
D00712665,Offspring
D00713695,Offspring
D00713347,Offspring
D00711692,Offspring
D00711767,Offspring
D00712235,Offspring
D00712195,Offspring
D00713739,Offspring
D00711757,Offspring
D00711472,Offspring
D00712118,Offspring
D00712358,Offspring
D00712487,Offspring
D00713004,Offspring
D00713424,Offspring
D00711684,Offspring
D00712478,Offspring
D00712115,Offspring
D00712498,Offspring
D00713796,Offspring
D00712853,Offspring
D00711730,Offspring
D00713100,Offspring
D00711695,Offspring
D00713559,Offspring
D00712646,Offspring
D00712249,Offspring
D00711398,Offspring
D00712102,Offspring
D00712183,Offspring
D00712393,Offspring
D00713846,Offspring
D00713661,Offspring
D00712657,Offspring
D00713917,Offspring
D00713213,Offspring
D00712889,Offspring
D00711883,Offspring
D00712573,Offspring
D00711792,Offspring
D00713958,Offspring
D00713494,Offspring
D00713126,Offspring
D00713455,Offspring
D00713198,Offspring
D00713482,Offspring
D00711628,Offspring
D00711378,Offspring
D00712618,Offspring
D00711823,Offspring
D00711887,Offspring
D00713078,Offspring
D00712991,Offspring
D00713768,Offspring
D00712334,Offspring
D00711578,Offspring
D00712275,Offspring
D00713071,Offspring
D00712492,Offspring
D00712328,Offspring
D00713235,Offspring
D00713505,Offspring
D00272070,Offspring
D00712845,Offspring
D00712164,Offspring
D00713531,Offspring
D00711590,Offspring
D00712662,Offspring
D00711512,Offspring
D00711970,Offspring
D00712377,Offspring
D00712490,Offspring
D00713648,Offspring
D00713613,Offspring
D00712616,Offspring
D00713428,Offspring
D00712277,Offspring
D00711100,Offspring
D00712895,Offspring
D00713885,Offspring
D00712029,Offspring
D00712236,Offspring
D00713294,Offspring
D00712518,Offspring
D00711965,Offspring
D00713077,Offspring
D00713500,Offspring
D00713420,Offspring
D00712768,Offspring
D00712992,Offspring
D00712897,Offspring
D00713049,Offspring
D00711613,Offspring
D00712100,Offspring
D00712975,Offspring
D00713437,Offspring
D00713248,Offspring
D00712959,Offspring
D00712253,Offspring
D00713864,Offspring
D00711144,Offspring
D00713391,Offspring
D00711812,Offspring
D00711739,Offspring
D00712942,Offspring
D00711384,Offspring
D00713374,Offspring
D00713553,Offspring
D00712590,Offspring
D00713707,Offspring
D00713396,Offspring
D00713136,Offspring
D00711126,Offspring
D00712493,Offspring
D00711801,Offspring
D00713457,Offspring
D00711896,Offspring
D00712033,Offspring
D00711312,Offspring
D00712846,Offspring
D00711195,Offspring
D00711630,Offspring
D00713662,Offspring
D00712005,Offspring
D00712213,Offspring
D00711798,Offspring
D00712419,Offspring
D00713300,Offspring
D00713392,Offspring
D00713577,Offspring
D00713911,Offspring
D00712172,Offspring
D00713601,Offspring
D00711574,Offspring
D00711905,Offspring
D00712556,Offspring
D00711842,Offspring
D00711001,Offspring
D00713533,Offspring
D00713021,Offspring
D00711824,Offspring
D00712829,Offspring
D00712687,Offspring
D00713629,Offspring
D00712660,Offspring
D00712426,Offspring
D00713549,Offspring
D00712875,Offspring
D00711939,Offspring
D00711268,Offspring
D00711103,Offspring
D00711350,Offspring
D00711370,Offspring
D00712250,Offspring
D00712810,Offspring
D00711892,Offspring
D00711764,Offspring
D00712318,Offspring
D00713488,Offspring
D00711969,Offspring
D00714090,Offspring
D00711750,Offspring
D00712511,Offspring
D00711993,Offspring
D00712422,Offspring
D00711735,Offspring
D00712097,Offspring
D00712217,Offspring
D00711829,Offspring
D00711303,Offspring
D00711968,Offspring
D00711586,Offspring
D00712220,Offspring
D00711599,Offspring
D00713495,Offspring
D00712599,Offspring
